,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
15,203999,Nikola Jokic,Nikola,1610612743,DEN,27.0,74,46,28,0.622,33.5,115.2,117.3,117.3,108.1,108.9,108.9,7.1,8.4,8.4,0.388,2.08,24.8,0.09,0.313,0.209,11.9,11.8,0.62,0.661,0.309,0.316,100.69,99.46,82.88,99.46,0.23,5136,764,1311,10.3,17.7,0.583,4,1,16,3,1,4,4,4,5,5,5,2,2,2,2,8,5,3,1,1,19,19,3,2,1,1,8,13,13,1,1,1,1,1,1,2021-22
16,1628408,PJ Dozier,PJ,1610612743,DEN,25.0,18,9,9,0.5,18.9,97.5,96.6,96.6,109.8,109.5,109.5,-12.3,-12.9,-12.9,0.135,2.23,19.7,0.038,0.144,0.089,8.8,8.9,0.439,0.463,0.147,0.153,98.74,99.32,82.76,99.32,0.068,705,36,99,2.0,5.5,0.364,15,15,6,16,9,21,21,21,6,7,7,20,20,20,10,5,10,11,7,9,7,8,19,19,16,16,20,17,17,16,16,16,13,10,18,2021-22
17,1627822,Petr Cornelie,Petr,1610612743,DEN,26.0,13,3,10,0.231,2.9,109.9,102.3,102.3,103.2,96.5,96.5,6.7,5.8,5.8,0.115,0.75,12.5,0.159,0.219,0.184,16.7,16.8,0.367,0.418,0.208,0.228,102.03,109.36,91.14,109.36,0.046,88,5,15,0.4,1.2,0.333,18,19,9,22,21,13,18,18,2,2,2,3,5,5,11,19,16,1,3,3,21,21,21,20,5,6,4,3,3,19,19,19,21,20,21,2021-22
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,25.0,15,7,8,0.467,11.8,105.6,104.9,104.9,107.0,104.1,104.1,-1.4,0.8,0.8,0.139,1.89,23.0,0.041,0.133,0.085,12.2,12.3,0.646,0.657,0.131,0.134,103.48,105.21,87.68,105.21,0.085,387,23,41,1.5,2.7,0.561,16,16,5,18,16,18,16,16,4,4,4,14,12,12,9,9,6,10,11,11,20,20,2,3,19,19,3,4,4,10,17,17,16,17,2,2021-22
20,203115,Will Barton,Will,1610612743,DEN,31.0,71,41,30,0.577,32.1,111.0,112.5,112.5,110.2,110.4,110.4,0.8,2.0,2.0,0.171,2.17,20.4,0.02,0.128,0.075,9.4,9.4,0.525,0.548,0.205,0.208,100.1,99.34,82.79,99.34,0.095,4713,392,896,5.5,12.6,0.438,5,5,19,12,2,11,10,10,9,12,12,9,8,8,7,7,9,15,13,13,11,11,13,15,7,8,9,15,15,7,3,2,3,2,13,2021-22
21,1630192,Zeke Nnaji,Zeke,1610612743,DEN,21.0,41,24,17,0.585,17.0,107.3,107.2,107.2,111.4,110.4,110.4,-4.0,-3.2,-3.2,0.037,0.74,6.6,0.077,0.141,0.107,9.0,9.0,0.616,0.629,0.146,0.15,98.76,99.25,82.71,99.25,0.078,1443,96,186,2.3,4.5,0.516,11,11,12,10,12,15,14,14,16,11,11,17,16,16,21,20,20,4,8,7,9,9,5,4,17,17,19,18,18,12,11,12,11,14,6,2021-22
0,203932,Aaron Gordon,Aaron,1610612743,DEN,25.0,25,19,6,0.76,25.9,118.1,119.6,119.6,111.9,111.8,111.8,6.2,7.8,7.8,0.111,1.87,18.1,0.063,0.123,0.094,9.7,9.6,0.541,0.564,0.167,0.17,99.91,99.31,82.76,99.31,0.083,1337,103,206,4.1,8.2,0.5,15,14,6,2,7,3,3,3,15,14,14,7,6,6,10,11,8,6,13,9,12,12,7,8,11,12,12,11,11,7,10,10,5,5,4,2020-21
1,203085,Austin Rivers,Austin,1610612743,DEN,28.0,15,10,5,0.667,26.9,114.0,115.2,115.2,108.7,109.8,109.8,5.3,5.4,5.4,0.127,2.79,22.9,0.007,0.083,0.044,8.2,8.2,0.541,0.558,0.137,0.141,100.24,99.25,82.71,99.25,0.063,837,46,110,3.1,7.3,0.418,19,19,3,9,6,9,9,9,7,9,9,12,11,11,7,3,4,18,18,19,8,8,8,10,15,15,10,13,13,15,13,12,9,8,15,2020-21
2,1629626,Bol Bol,Bol,1610612743,DEN,21.0,32,21,11,0.656,5.0,99.1,94.4,94.4,122.1,119.3,119.3,-23.0,-24.9,-24.9,0.067,0.54,8.4,0.0,0.154,0.074,15.7,15.4,0.509,0.534,0.191,0.206,106.88,110.79,92.32,110.79,0.057,374,25,58,0.8,1.8,0.431,13,13,8,12,20,20,20,20,21,21,21,21,21,21,17,19,17,20,8,13,20,20,13,15,6,6,2,2,2,17,18,19,20,19,13,2020-21
3,1630267,Facundo Campazzo,Facundo,1610612743,DEN,30.0,65,43,22,0.662,21.9,111.1,111.6,111.6,108.8,108.8,108.8,2.3,2.8,2.8,0.215,3.18,35.3,0.015,0.081,0.047,11.1,11.1,0.502,0.558,0.128,0.131,99.32,99.09,82.57,99.09,0.074,2940,120,315,1.8,4.8,0.381,2,2,21,10,9,11,12,12,8,7,7,15,15,15,2,2,1,15,19,18,16,16,15,9,18,18,13,14,14,12,9,9,13,13,18,2020-21
6,204222,Greg Whittington,Greg,1610612743,DEN,28.0,4,3,1,0.75,3.0,113.1,103.7,103.7,77.5,70.4,70.4,35.6,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.112,98.42,107.85,89.88,107.85,-0.071,27,0,3,0.0,0.8,0.0,21,21,2,3,21,10,16,16,1,1,1,1,1,1,21,21,21,20,22,22,1,1,21,21,21,20,18,4,4,22,21,21,21,21,21,2020-21
8,203210,JaMychal Green,JaMychal,1610612743,DEN,31.0,58,38,20,0.655,19.3,110.5,111.8,111.8,107.3,107.6,107.6,3.2,4.1,4.1,0.07,1.0,10.5,0.072,0.177,0.122,10.5,10.5,0.568,0.59,0.172,0.176,98.52,97.77,81.48,97.77,0.088,2283,173,374,3.0,6.4,0.463,4,4,19,14,12,13,11,11,6,6,6,14,14,14,15,14,16,4,4,4,15,15,4,5,10,10,17,18,18,6,7,7,10,11,10,2020-21
9,201580,JaVale McGee,JaVale,1610612743,DEN,33.0,13,8,5,0.615,13.5,107.3,108.2,108.2,101.7,103.6,103.6,5.6,4.6,4.6,0.054,0.4,6.4,0.124,0.234,0.181,16.0,16.1,0.478,0.498,0.203,0.21,101.22,99.9,83.25,99.9,0.082,366,32,67,2.5,5.2,0.478,20,20,3,19,14,14,13,13,3,4,4,9,13,13,18,20,20,2,2,1,21,22,17,17,5,5,8,10,10,8,17,17,12,12,7,2020-21
10,1627750,Jamal Murray,Jamal,1610612743,DEN,24.0,48,31,17,0.646,35.5,117.5,118.6,118.6,110.4,110.6,110.6,7.1,8.0,8.0,0.197,2.14,19.3,0.023,0.095,0.059,9.0,9.0,0.559,0.592,0.244,0.249,97.92,97.41,81.18,97.41,0.117,3468,378,792,7.9,16.5,0.477,8,8,15,17,1,5,5,5,11,11,11,5,4,4,3,7,6,14,17,16,11,11,5,4,3,3,22,21,21,3,3,3,2,2,8,2020-21
11,1630210,Markus Howard,Markus,1610612743,DEN,22.0,37,24,13,0.649,5.5,97.5,93.5,93.5,112.4,110.5,110.5,-14.9,-17.0,-17.0,0.145,1.0,12.4,0.004,0.095,0.048,12.4,12.3,0.462,0.477,0.25,0.267,104.84,107.97,89.97,107.97,0.046,465,40,106,1.1,2.9,0.377,12,12,11,16,19,22,21,21,18,10,10,19,19,19,5,14,14,19,16,17,18,18,18,19,2,2,3,3,3,19,15,13,17,15,19,2020-21
