,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
7,1627736,Malik Beasley,1610612743,DEN,21.0,6-5,77,196,Florida State,USA,2016,1,19,62,3.2,1.1,0.5,-1.0,0.023,0.095,0.151,0.509,0.077,2017-18
8,203486,Mason Plumlee,1610612743,DEN,28.0,6-11,83,255,Duke,USA,2013,1,22,74,7.1,5.4,1.9,-0.7,0.092,0.182,0.161,0.586,0.145,2017-18
9,1628420,Monte Morris,1610612743,DEN,23.0,6-3,75,175,Iowa State,USA,2017,2,51,3,3.3,0.7,2.3,-14.8,0.0,0.08,0.136,0.727,0.368,2017-18
10,203999,Nikola Jokic,1610612743,DEN,23.0,6-10,82,250,None,Serbia,2014,2,41,75,18.5,10.7,6.1,6.2,0.081,0.254,0.238,0.603,0.286,2017-18
11,200794,Paul Millsap,1610612743,DEN,33.0,6-8,80,246,Louisiana Tech,USA,2006,2,47,38,14.6,6.4,2.8,3.9,0.058,0.153,0.217,0.549,0.139,2017-18
12,2210,Richard Jefferson,1610612743,DEN,38.0,6-7,79,233,Arizona,USA,2001,1,13,20,1.5,0.9,0.8,-13.2,0.011,0.099,0.089,0.499,0.135,2017-18
13,1628470,Torrey Craig,1610612743,DEN,27.0,6-6,78,215,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,39,4.2,3.3,0.6,-2.9,0.064,0.134,0.116,0.535,0.054,2017-18
14,1626168,Trey Lyles,1610612743,DEN,22.0,6-10,82,234,Kentucky,Canada,2015,1,12,73,9.9,4.8,1.2,-0.2,0.039,0.215,0.205,0.591,0.105,2017-18
15,1628399,Tyler Lydon,1610612743,DEN,22.0,6-9,81,220,Syracuse,USA,2017,1,24,1,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,2017-18
16,203115,Will Barton,1610612743,DEN,27.0,6-6,78,190,Memphis,USA,2012,2,40,81,15.7,5.0,4.1,2.1,0.026,0.126,0.201,0.562,0.185,2017-18
