,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_ID
11,203999,Nikola Jokic,1610612743,DEN,24.0,80,31.3,9.94,7.11,2.83,2.44,0.06,3.69,8.15,0.53,0.5,1.03,0.512,0.488,1.1,5.06,6.16,3.45,1.58,0.178,0.822,0.882,0.403,2018-19
12,200794,Paul Millsap,1610612743,DEN,34.0,70,27.1,8.6,4.76,3.84,2.11,0.06,0.89,2.09,0.46,0.5,0.96,0.478,0.522,0.84,2.84,3.69,1.76,0.77,0.229,0.771,0.911,0.4,2018-19
13,1629118,Thomas Welsh,1610612743,DEN,23.0,11,3.3,1.55,1.09,0.45,0.0,0.0,0.64,1.64,0.09,0.09,0.18,0.5,0.5,0.09,1.36,1.45,0.55,0.18,0.063,0.938,0.75,0.25,2018-19
14,1628470,Torrey Craig,1610612743,DEN,28.0,75,20.0,5.56,2.87,2.69,1.0,0.01,0.12,0.25,0.48,0.51,0.99,0.486,0.514,0.23,0.77,1.0,0.49,0.2,0.227,0.773,0.74,0.3,2018-19
15,1626168,Trey Lyles,1610612743,DEN,23.0,64,17.5,5.83,3.61,2.22,0.55,0.02,0.53,1.22,0.16,0.34,0.5,0.313,0.688,0.23,2.84,3.08,1.34,0.41,0.076,0.924,0.878,0.265,2018-19
16,1628399,Tyler Lydon,1610612743,DEN,23.0,25,3.7,0.96,0.52,0.44,0.12,0.0,0.04,0.12,0.04,0.0,0.04,1.0,0.0,0.0,0.56,0.56,0.12,0.08,0.0,1.0,1.0,0.667,2018-19
17,203115,Will Barton,1610612743,DEN,28.0,43,27.7,5.53,2.88,2.65,1.16,0.0,0.09,0.19,0.23,0.23,0.47,0.5,0.5,0.0,0.6,0.6,0.33,0.12,0.0,1.0,0.737,0.263,2018-19
0,201589,Darrell Arthur,1610612743,DEN,30.0,19,7.4,2.16,1.68,0.47,0.84,0.0,0.42,1.0,0.16,0.05,0.21,0.75,0.25,0.11,2.42,2.53,1.63,0.32,0.042,0.958,0.969,0.188,2017-18
1,2734,Devin Harris,1610612743,DEN,35.0,27,19.7,2.59,1.26,1.33,1.22,0.22,0.04,0.07,0.37,0.37,0.74,0.5,0.5,0.04,0.63,0.67,0.44,0.07,0.056,0.944,0.857,0.143,2017-18
3,203914,Gary Harris,1610612743,DEN,23.0,67,34.4,5.42,2.51,2.91,3.03,0.06,0.13,0.3,0.54,0.84,1.37,0.391,0.609,0.06,0.81,0.87,0.55,0.1,0.069,0.931,0.925,0.175,2017-18
4,1627750,Jamal Murray,1610612743,DEN,21.0,81,31.7,7.69,4.33,3.36,2.05,0.06,0.43,0.95,0.63,0.59,1.22,0.515,0.485,0.04,1.46,1.49,0.88,0.16,0.025,0.975,0.888,0.163,2017-18
5,1627823,Juancho Hernangomez,1610612743,DEN,22.0,25,11.1,3.8,2.28,1.52,0.48,0.04,0.16,0.36,0.16,0.16,0.32,0.5,0.5,0.16,0.72,0.88,0.28,0.2,0.182,0.818,0.583,0.417,2017-18
6,202702,Kenneth Faried,1610612743,DEN,28.0,32,14.4,4.66,3.22,1.44,0.69,0.16,1.06,2.41,0.16,0.16,0.31,0.5,0.5,1.81,2.56,4.38,2.28,1.0,0.414,0.586,0.869,0.381,2017-18
7,1627736,Malik Beasley,1610612743,DEN,21.0,62,9.4,1.76,1.08,0.68,0.37,0.05,0.02,0.05,0.11,0.29,0.4,0.28,0.72,0.05,0.39,0.44,0.31,0.06,0.111,0.889,0.905,0.19,2017-18
8,203486,Mason Plumlee,1610612743,DEN,28.0,74,19.5,7.23,5.74,1.49,1.72,0.09,2.05,4.77,0.28,0.45,0.73,0.389,0.611,1.76,3.62,5.38,2.65,0.93,0.327,0.673,0.82,0.289,2017-18
9,1628420,Monte Morris,1610612743,DEN,23.0,3,8.4,1.67,1.0,0.67,1.67,0.0,0.33,0.67,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10,203999,Nikola Jokic,1610612743,DEN,23.0,75,32.6,12.57,9.51,3.07,2.47,0.11,4.28,9.69,0.68,0.55,1.23,0.554,0.446,1.73,6.4,8.13,4.51,2.0,0.213,0.787,0.916,0.407,2017-18
11,200794,Paul Millsap,1610612743,DEN,33.0,38,30.1,10.63,7.16,3.47,2.18,0.24,0.79,1.82,0.47,0.87,1.34,0.353,0.647,0.79,5.29,6.08,3.24,1.08,0.13,0.87,0.904,0.301,2017-18
