,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
13,1628420,Monte Morris,Monte,1610612743,DEN,26.0,47,30,17,0.638,25.5,109.5,1.8,0.071,0.102,0.7,0.183,0.3,0.121,8.3,6.1,6.5,24.5,0.083,9,9,15,18,8,8,12,20,20,9,9,12,12,16,15,15,16,4,2020-21
14,203999,Nikola Jokic,Nikola,1610612743,DEN,26.0,72,47,25,0.653,34.6,112.6,8.0,0.237,0.334,1.3,0.232,0.7,0.231,10.8,7.7,9.6,32.1,0.082,1,1,22,15,2,19,1,1,1,2,5,3,7,21,21,22,21,6,2020-21
15,1628408,PJ Dozier,PJ,1610612743,DEN,24.0,50,36,14,0.72,21.8,102.5,2.9,0.133,0.181,0.6,0.165,0.4,0.196,6.6,4.1,4.9,18.8,0.117,7,7,13,4,10,3,9,11,11,12,13,7,9,13,10,12,12,1,2020-21
16,200794,Paul Millsap,Paul,1610612743,DEN,36.0,56,38,18,0.679,20.8,111.5,3.3,0.167,0.237,0.9,0.245,0.6,0.33,6.4,4.5,6.5,19.1,0.055,5,4,17,8,11,13,5,5,8,5,4,5,4,12,12,14,13,15,2020-21
17,1630181,R.J. Hampton,R.J.,1610612753,ORL,20.0,25,14,11,0.56,9.3,112.0,1.6,0.164,0.252,0.2,0.128,0.1,0.077,3.4,2.6,2.9,9.0,0.025,15,16,8,21,16,16,15,6,5,17,18,18,18,6,7,6,7,17,2020-21
18,1627885,Shaquille Harrison,Shaquille,1610612743,DEN,27.0,17,12,5,0.706,16.3,106.6,2.1,0.123,0.173,0.9,0.3,0.3,0.143,4.9,4.4,4.5,15.4,0.07,18,17,3,6,13,5,11,14,13,8,3,11,11,10,11,10,10,11,2020-21
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,24.0,41,28,13,0.683,6.9,113.9,1.0,0.136,0.176,0.3,0.367,0.0,0.1,2.6,1.2,2.9,6.9,0.014,11,11,11,7,18,20,18,10,12,15,1,19,15,4,3,7,5,20,2020-21
20,203115,Will Barton,Will,1610612743,DEN,30.0,56,37,19,0.661,31.0,112.4,3.3,0.109,0.156,0.9,0.181,0.4,0.149,9.6,7.3,9.4,29.4,0.074,5,6,18,11,4,17,4,15,15,7,10,8,10,18,18,21,19,9,2020-21
21,1630192,Zeke Nnaji,Zeke,1610612743,DEN,20.0,42,30,12,0.714,9.5,112.5,1.2,0.129,0.184,0.2,0.123,0.1,0.105,3.5,2.3,2.9,10.2,0.023,10,9,10,5,15,18,17,12,10,18,20,17,14,7,5,8,8,18,2020-21
0,1629626,Bol Bol,Bol,1610612743,DEN,20.0,7,2,5,0.286,12.4,123.3,2.0,0.171,0.255,0.3,0.2,0.9,0.6,6.7,3.0,2.4,11.1,-0.017,16,18,6,19,15,20,11,5,5,17,9,1,2,11,7,6,7,21,2019-20
1,203914,Gary Harris,Gary,1610612743,DEN,25.0,56,37,19,0.661,31.8,107.1,2.4,0.077,0.113,1.4,0.246,0.3,0.093,10.4,7.9,8.2,31.5,0.109,8,8,12,1,4,5,8,19,20,1,4,11,16,20,20,20,19,2,2019-20
2,1627750,Jamal Murray,Jamal,1610612743,DEN,23.0,59,38,21,0.644,32.3,107.7,3.2,0.101,0.145,1.1,0.225,0.3,0.108,10.5,7.4,8.2,31.9,0.105,5,4,16,5,2,7,6,15,17,3,6,10,14,21,18,21,20,3,2019-20
3,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,21.0,9,5,4,0.556,4.6,117.0,0.6,0.143,0.238,0.3,0.3,0.1,1.0,2.6,0.7,2.2,4.9,0.003,15,15,4,14,19,16,20,9,6,16,2,17,1,4,2,5,3,16,2019-20
4,203924,Jerami Grant,Jerami,1610612743,DEN,26.0,71,45,26,0.634,26.6,112.3,2.7,0.099,0.15,0.7,0.175,0.8,0.292,9.2,7.0,6.8,27.5,0.052,3,3,19,7,5,12,7,16,16,9,16,2,9,17,17,17,17,10,2019-20
5,203895,Jordan McRae,Jordan,1610612765,DET,29.0,4,2,2,0.5,8.0,120.6,1.0,0.133,0.19,0.5,0.286,0.3,0.25,2.0,2.8,0.5,5.0,-0.004,20,18,1,15,18,18,16,11,11,11,3,11,10,3,6,2,4,18,2019-20
6,1627823,Juancho Hernangomez,Juancho,1610612750,MIN,24.0,34,20,14,0.588,12.4,102.8,2.1,0.162,0.233,0.1,0.074,0.1,0.106,3.6,2.6,3.1,13.4,0.058,12,12,10,12,16,1,10,6,7,19,20,15,15,5,5,7,10,8,2019-20
