,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SEASON_ID
14,1610612743,2017,00,Devin Harris,Devin,devin-harris,34,G,6-3,185,"FEB 27, 1983",35.0,13,Wisconsin,2734,,2017-18
15,1610612743,2017,00,Kenneth Faried,Kenneth,kenneth-faried,35,F,6-8,228,"NOV 19, 1989",28.0,6,Morehead State,202702,,2017-18
16,1610612743,2017,00,Juancho Hernangomez,Juancho,juancho-hernangomez,41,F,6-9,230,"SEP 28, 1995",22.0,1,Estudiantes,1627823,,2017-18
0,1610612743,2016,00,Emmanuel Mudiay,Emmanuel,emmanuel-mudiay,0,G,6-5,200,"MAR 05, 1996",21.0,1,Guangdong,1626144,,2016-17
1,1610612743,2016,00,Darrell Arthur,Darrell,darrell-arthur,00,F,6-9,235,"MAR 25, 1988",29.0,7,Kansas,201589,,2016-17
2,1610612743,2016,00,Jameer Nelson,Jameer,jameer-nelson,1,G,6-0,190,"FEB 09, 1982",35.0,12,St. Joseph's (PA),2749,,2016-17
3,1610612743,2016,00,Mike Miller,Mike,mike-miller,3,G-F,6-8,218,"FEB 19, 1980",37.0,16,Florida,2034,,2016-17
4,1610612743,2016,00,Will Barton,Will,will-barton,5,G-F,6-6,175,"JAN 06, 1991",26.0,4,Memphis,203115,,2016-17
5,1610612743,2016,00,Danilo Gallinari,Danilo,danilo-gallinari,8,F,6-10,225,"AUG 08, 1988",28.0,7,Olimpia Milano,201568,,2016-17
6,1610612743,2016,00,Gary Harris,Gary,gary-harris,14,G,6-4,210,"SEP 14, 1994",22.0,2,Michigan State,203914,,2016-17
7,1610612743,2016,00,Nikola Jokic,Nikola,nikola-jokic,15,F-C,6-10,250,"FEB 19, 1995",22.0,1,Mega Basket,203999,#41 Pick in 2014 Draft,2016-17
8,1610612743,2016,00,Wilson Chandler,Wilson,wilson-chandler,21,F,6-8,225,"MAY 10, 1987",30.0,8,DePaul,201163,,2016-17
9,1610612743,2016,00,Mason Plumlee,Mason,mason-plumlee,24,C,6-11,255,"MAR 05, 1990",27.0,3,Duke,203486,,2016-17
10,1610612743,2016,00,Malik Beasley,Malik,malik-beasley,25,G,6-5,196,"NOV 26, 1996",20.0,R,Florida State,1627736,,2016-17
11,1610612743,2016,00,Jamal Murray,Jamal,jamal-murray,27,G,6-4,207,"FEB 23, 1997",20.0,R,Kentucky,1627750,#7 Pick in 2016 Draft,2016-17
12,1610612743,2016,00,Roy Hibbert,Roy,roy-hibbert,34,C,7-2,270,"DEC 11, 1986",30.0,8,Georgetown,201579,,2016-17
13,1610612743,2016,00,Kenneth Faried,Kenneth,kenneth-faried,35,F,6-8,228,"NOV 19, 1989",27.0,5,Morehead State,202702,,2016-17
14,1610612743,2016,00,Juancho Hernangomez,Juancho,juancho-hernangomez,41,F,6-9,230,"SEP 28, 1995",21.0,R,Estudiantes,1627823,,2016-17
0,1610612743,2015,00,Emmanuel Mudiay,Emmanuel,emmanuel-mudiay,0,G,6-5,200,"MAR 05, 1996",20.0,R,Guangdong,1626144,,2015-16
1,1610612743,2015,00,Darrell Arthur,Darrell,darrell-arthur,00,F,6-9,235,"MAR 25, 1988",28.0,6,Kansas,201589,,2015-16
2,1610612743,2015,00,Jameer Nelson,Jameer,jameer-nelson,1,G,6-0,190,"FEB 09, 1982",34.0,11,St. Joseph's (PA),2749,,2015-16
3,1610612743,2015,00,Mike Miller,Mike,mike-miller,3,G-F,6-8,218,"FEB 19, 1980",36.0,15,Florida,2034,,2015-16
4,1610612743,2015,00,Will Barton,Will,will-barton,5,F-G,6-6,175,"JAN 06, 1991",25.0,3,Memphis,203115,,2015-16
5,1610612743,2015,00,Axel Toupane,Axel,axel-toupane,6,G-F,6-7,210,"JUL 23, 1992",23.0,R,Strasbourg IG,1626253,,2015-16
6,1610612743,2015,00,Danilo Gallinari,Danilo,danilo-gallinari,8,F,6-10,225,"AUG 08, 1988",27.0,6,Olimpia Milano,201568,,2015-16
7,1610612743,2015,00,JaKarr Sampson,JaKarr,jakarr-sampson,9,G-F,6-9,214,"MAR 20, 1993",23.0,1,St. John's (NY),203960,,2015-16
8,1610612743,2015,00,D.J. Augustin,D.J.,dj-augustin,12,G,6-0,183,"NOV 10, 1987",28.0,7,Texas,201571,,2015-16
9,1610612743,2015,00,Gary Harris,Gary,gary-harris,14,G,6-4,210,"SEP 14, 1994",21.0,1,Michigan State,203914,,2015-16
10,1610612743,2015,00,Nikola Jokic,Nikola,nikola-jokic,15,C,6-10,250,"FEB 19, 1995",21.0,R,Mega Basket,203999,#41 Pick in 2014 Draft,2015-16
11,1610612743,2015,00,Wilson Chandler,Wilson,wilson-chandler,21,F,6-8,225,"MAY 10, 1987",29.0,8,DePaul,201163,,2015-16
12,1610612743,2015,00,Jusuf Nurkic,Jusuf,jusuf-nurkic,23,C,7-0,280,"AUG 23, 1994",21.0,1,Cedevita,203994,,2015-16
13,1610612743,2015,00,Kenneth Faried,Kenneth,kenneth-faried,35,F,6-8,228,"NOV 19, 1989",26.0,4,Morehead State,202702,,2015-16
14,1610612743,2015,00,Joffrey Lauvergne,Joffrey,joffrey-lauvergne,77,C-F,6-11,220,"SEP 30, 1991",24.0,1,Khimki,203530,,2015-16
